Size = 20 
Clusters = 37 
5	82	0
2	19	82
0	66	36
36	60	75
3	36	16
66	16	44
6	34	4
89	53	38
99	47	12
10	4	51
5	93	99
77	51	17
83	87	13
99	36	70
12	57	62
50	12	43
68	86	29
39	58	16
56	32	73
58	16	64
29	55	35
92	6	0
909	11001111001100111111
413	11010000010001110000
1125	11100101011100101100
763	10111001010001011111
723	00010001100101011111
700	10101011011110011011
1330	11001100011001110111
1131	01010100000000001011
1456	00111100000101101111
548	11010110100001000110
349	01010001111101110010
1158	10010111101111110001
178	10011010010111100000
857	11111100101100100100
917	10001111001110011000
667	00001000110110111110
1042	01101011110010100110
1792	10111100010000110100
1762	10011101101110110101
1462	01111011101011100010
438	10101100111011101000
1524	00011000001001111111
1774	01010000101110110101
419	00101011011001000111
1801	11110101010000010011
730	10111010001010110011
219	10100001110111011111
1043	00001111010100001010
895	00001001000011101001
1400	01001011011111011101
929	00101111110011101111
61	10000101100110110010
275	11000100111011010111
1987	10001010111100111010
22	11101100001101100001
680	11010100101000010000
1794	01110001001110000010
