Size = 20 
Clusters = 34 
81	89	0
70	34	39
37	50	59
3	20	88
70	80	8
43	24	87
55	83	36
38	12	90
61	78	71
20	18	2
83	52	83
82	0	20
83	13	31
8	79	30
79	76	31
76	10	54
10	59	96
53	94	12
21	86	16
94	59	77
68	92	5
84	31	0
128	01001100100000001100
1227	11010111010111000100
238	10110100100010000101
224	01010100100111100001
1133	00001101000100011111
1158	00101100101001110011
829	00001011100100001110
1836	00111010100011000001
1174	01001101000111100011
918	11001000101001001001
565	11001100000101111011
878	10000111101100001001
209	01011010101000010000
1174	00000100100010110100
1010	11001100100110100011
585	01111110100101101011
1743	11101000100111100101
1060	01101011000100100010
858	01011010010000111000
630	01100011010100010000
31	00011001001101001100
1864	01110101001011001001
168	10001100000010000111
248	10100000011001001010
1299	11011111101110111110
1529	10101010011111010001
1715	01011100001100101101
36	00100110011111010111
1073	00111011111011001000
1420	01101101010010100000
645	00010000111111010101
256	01101101100101111110
1500	00110000111100100011
1390	10010110101101010011
